HJD,Bb,Bb_err
2447893.9437,2.4,3.9
2447900.9284,9.9,3.9
2447923.8619,1.5,3.9
2447933.7875,2.7,3.9
2447940.7622,5.8,3.9
2447958.804,-5.1,3.9
2447960.7297,-2.8,3.9
2447966.8318,-2.9,3.9
2447969.6733,-2.3,3.9
2447987.6732,-10.8,3.9
2447990.6164,-8.9,3.9
2447994.6208,-10.7,3.9
2447998.6012,-13.9,3.9
2447999.6942,-2.9,3.9
2448000.6122,-6.1,3.9
2448001.6072,-8.4,3.9
2448014.5635,-11.2,3.9
2448023.5659,-8.0,3.9
2448026.5711,-14.1,3.9
2448045.6365,-9.4,3.9
2448046.6392,-10.7,3.9
2448047.6333,-7.5,3.9
2448048.6517,-15.0,3.9
2448049.6354,-13.6,3.9
2448053.6343,-19.4,3.9
2448054.6357,-11.7,3.9
2448228.9471,7.8,3.9
2448251.919,-1.0,3.9
2448252.9045,1.4,3.9
2448257.9475,-0.1,3.9
2448260.855,-1.8,3.9
2448278.8342,-1.5,3.9
2448281.819,-2.6,3.9
2448282.8396,-1.2,3.9
2448285.0192,1.2,3.9
2448285.8189,0.8,3.9
2448286.9587,1.8,3.9
2448288.0223,-0.2,3.9
2448288.8079,1.7,3.9
2448291.8559,-10.6,3.9
2448291.8813,-1.4,3.9
2448305.7847,3.3,3.9
2448309.8121,-4.0,3.9
2448310.7333,-9.5,3.9
2448311.7526,-8.5,3.9
2448315.7673,-13.9,3.9
2448321.7302,2.1,3.9
2448323.7623,-7.5,3.9
2448324.7093,-2.2,3.9
2448325.6859,-6.0,3.9
2448339.7775,-8.2,3.9
2448342.8213,-4.1,3.9
2448347.8141,-8.8,3.9
2448349.7405,-9.8,3.9
2448366.7137,-20.4,3.9
2448368.7887,-15.2,3.9
2448369.5955,-4.0,3.9
2448370.726,-10.1,3.9
2448372.7574,-11.3,3.9
2448378.6776,-10.7,3.9
2448380.5698,-20.6,3.9
2448397.5699,28.6,3.9
2448399.6445,39.5,3.9
2448401.6495,40.6,3.9
2448404.6283,38.2,3.9
2448405.56,35.2,3.9
2448406.6353,37.0,3.9
2448409.6431,30.5,3.9
2448411.6566,24.6,3.9
2448434.6336,26.1,3.9
2448438.6406,25.7,3.9
2448605.9678,-5.7,3.9
2448614.0576,-10.1,3.9
2448617.0121,-2.0,3.9
2448621.9233,-4.0,3.9
2448635.9564,-7.0,3.9
2448638.9767,-8.9,3.9
2448646.9575,-5.2,3.9
2448648.9547,-7.3,3.9
2448669.8766,-13.3,3.9
2448672.893,-9.7,3.9
2448673.7568,-3.7,3.9
2448674.8775,-11.8,3.9
2448677.8765,-8.7,3.9
2448691.7151,-17.5,3.9
2448693.8507,-12.8,3.9
2448696.8404,-23.4,3.9
2448698.8243,-7.3,3.9
2448703.6715,-1.2,3.9
2448706.6955,-2.2,3.9
2448711.6851,36.5,3.9
2448727.6448,32.9,3.9
2448731.6157,24.4,3.9
2448735.7549,25.3,3.9
2448740.5657,27.2,3.9
2448751.6528,24.6,3.9
2448754.5449,21.5,3.9
2448754.7028,22.8,3.9
2448757.6427,17.2,3.9
2448759.6362,15.1,3.9
2448763.6799,17.3,3.9
2448765.565,18.2,3.9
2448782.6352,9.7,3.9
2448784.6343,12.5,3.9
2448786.635,15.8,3.9
2448791.6353,10.3,3.9
2448797.6335,6.3,3.9
2448962.9421,-7.3,3.9
2448968.0647,-7.3,3.9
2448971.0305,-11.5,3.9
2448989.9036,-10.8,3.9
2449018.9083,-8.3,3.9
2449030.9129,43.3,3.9
2449033.801,38.1,3.9
2449045.7667,28.4,3.9
2449047.7311,23.2,3.9
2449048.76,26.0,3.9
2449062.6902,21.5,3.9
2449062.6902,16.6,3.9
2449076.7881,13.5,3.9
2449077.7597,12.5,3.9
2449078.7308,24.1,3.9
2449080.7588,18.4,3.9
2449082.7824,20.1,3.9
2449083.6513,18.0,3.9
2449085.6321,18.1,3.9
2449105.5947,10.3,3.9
2449106.7237,12.4,3.9
2449107.6213,14.6,3.9
2449109.5699,18.0,3.9
2449116.5509,5.7,3.9
2449118.6198,9.2,3.9
2449121.557,5.6,3.9
2449125.5798,4.8,3.9
2449140.5679,11.2,3.9
2449144.6294,9.5,3.9
2449146.6457,7.3,3.9
2449345.9228,38.8,3.9
2449348.0556,39.7,3.9
2449351.0171,32.9,3.9
2449362.8508,29.8,3.9
2449368.861,23.8,3.9
2449373.8324,25.3,3.9
2449377.8302,22.4,3.9
2449385.8003,22.2,3.9
2449400.7343,13.0,3.9
2449403.7491,20.8,3.9
2449413.7196,12.5,3.9
2449416.7738,13.6,3.9
2449442.6619,13.1,3.9
2449494.5568,2.7,3.9
